begins_at,open_price_x,close_price_x,high_price_x,low_price_x,volume_x,session_x,interpolated_x,symbol_x,open_price_y,close_price_y,high_price_y,low_price_y,volume_y,session_y,interpolated_y,symbol_y
2021-03-15T00:50:00Z,59928.765000,59716.695000,60042.660000,59297.420000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T00:55:00Z,59716.695000,59548.090000,59918.305000,59116.865000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:00:00Z,59548.090000,59573.800000,60060.125000,59114.360000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:05:00Z,59447.450000,59520.595000,59794.595000,59011.885000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:10:00Z,59391.390000,59638.515000,59912.295000,59141.285000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:15:00Z,59638.515000,59726.770000,59906.515000,59266.285000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:20:00Z,59855.810000,59839.310000,60099.810000,59331.305000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:25:00Z,59839.310000,59949.860000,60327.105000,59523.985000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:30:00Z,59932.415000,60031.450000,60308.275000,59602.760000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:35:00Z,60170.185000,60121.965000,60393.460000,59706.560000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:40:00Z,60121.965000,60328.480000,60439.705000,59764.210000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:45:00Z,60328.480000,59918.765000,60477.995000,59658.465000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:50:00Z,59900.605000,59992.660000,60295.695000,59787.665000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T01:55:00Z,59992.660000,60099.020000,60242.670000,59644.340000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T02:00:00Z,60099.020000,60257.215000,60499.945000,59707.470000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T02:05:00Z,60257.215000,60438.805000,60607.545000,59882.590000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T02:10:00Z,60438.805000,60222.880000,60577.005000,59816.350000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T02:15:00Z,60222.880000,60249.625000,60556.600000,60053.045000,0,reg,False,BTCUSD,,,,,,,,
2021-03-15T02:20:00Z,60371.880000,60106.450000,60535.520000,59942.610000,0,reg,False,BTCUSD,,,,,,,,
