date,open,high,low,close,volume,datetime
2021-03-03 14:30:00+00:00,30.01,31.0,30.0,30.0,2529,1614781800000
2021-03-03 14:31:00+00:00,28.5,29.99,28.01,29.0,1233,1614781860000
2021-03-03 14:32:00+00:00,29.72,29.72,29.0,29.0,1330,1614781920000
2021-03-03 14:33:00+00:00,29.0,29.295,28.5,28.5,12743,1614781980000
2021-03-03 14:34:00+00:00,29.0,29.0,28.5,29.0,801,1614782040000
2021-03-03 14:36:00+00:00,28.5,28.5,28.25,28.25,1195,1614782160000
2021-03-03 14:37:00+00:00,28.35,28.49,28.35,28.49,1172,1614782220000
2021-03-03 14:38:00+00:00,28.3625,28.3625,28.3625,28.3625,100,1614782280000
2021-03-03 14:39:00+00:00,28.25,28.25,28.25,28.25,200,1614782340000
2021-03-03 14:40:00+00:00,28.25,28.25,28.0,28.0,411,1614782400000
2021-03-03 14:41:00+00:00,27.75,27.75,27.5,27.5,604,1614782460000
2021-03-03 14:42:00+00:00,27.25,27.4,27.25,27.4,220,1614782520000
2021-03-03 14:43:00+00:00,27.45,27.45,27.05,27.05,2821,1614782580000
2021-03-03 14:44:00+00:00,27.0,27.05,27.0,27.05,700,1614782640000
2021-03-03 14:45:00+00:00,27.05,27.05,27.05,27.05,100,1614782700000
2021-03-03 14:46:00+00:00,27.06,27.06,27.0,27.0,1051,1614782760000
2021-03-03 14:47:00+00:00,26.75,26.75,26.3,26.3,2999,1614782820000
2021-03-03 14:48:00+00:00,26.5,26.5,26.5,26.5,250,1614782880000
2021-03-03 14:49:00+00:00,26.5,26.5,26.28,26.28,343,1614782940000
2021-03-03 14:50:00+00:00,26.51,26.51,26.51,26.51,300,1614783000000
2021-03-03 14:51:00+00:00,26.51,26.51,26.51,26.51,200,1614783060000
2021-03-03 14:53:00+00:00,27.0,27.0,27.0,27.0,1400,1614783180000
2021-03-03 14:54:00+00:00,27.0,27.0,27.0,27.0,100,1614783240000
2021-03-03 14:55:00+00:00,27.0,27.0,26.9,26.9,3040,1614783300000
2021-03-03 14:56:00+00:00,27.0,27.0,27.0,27.0,500,1614783360000
2021-03-03 14:57:00+00:00,26.9,27.0,26.9,26.9,2566,1614783420000
2021-03-03 14:58:00+00:00,26.9,26.9,26.9,26.9,870,1614783480000
2021-03-03 14:59:00+00:00,26.9,27.09,26.9,27.09,2364,1614783540000
2021-03-03 15:00:00+00:00,27.0,27.0,26.7,26.99,1489,1614783600000
2021-03-03 15:02:00+00:00,27.0,27.0,27.0,27.0,100,1614783720000
2021-03-03 15:03:00+00:00,27.0,27.0,27.0,27.0,200,1614783780000
2021-03-03 15:04:00+00:00,26.945,27.0,26.945,26.99,1798,1614783840000
2021-03-03 15:05:00+00:00,26.9,26.9,26.9,26.9,500,1614783900000
2021-03-03 15:06:00+00:00,26.7,26.7,26.7,26.7,150,1614783960000
2021-03-03 15:07:00+00:00,27.0,27.0,27.0,27.0,100,1614784020000
2021-03-03 15:08:00+00:00,27.0,27.0,27.0,27.0,900,1614784080000
2021-03-03 15:09:00+00:00,27.0,27.0,26.995,26.995,500,1614784140000
2021-03-03 15:10:00+00:00,27.0,27.0,27.0,27.0,360,1614784200000
2021-03-03 15:12:00+00:00,27.0,27.0,27.0,27.0,850,1614784320000
2021-03-03 15:13:00+00:00,27.0,27.0,27.0,27.0,2076,1614784380000
2021-03-03 15:14:00+00:00,26.9,27.0,26.9,27.0,1600,1614784440000
2021-03-03 15:17:00+00:00,27.09,27.09,27.09,27.09,889,1614784620000
2021-03-03 15:18:00+00:00,27.1375,27.1375,27.1375,27.1375,150,1614784680000
2021-03-03 15:19:00+00:00,27.0,27.0,27.0,27.0,350,1614784740000
2021-03-03 15:20:00+00:00,27.25,27.25,26.8,26.8,200,1614784800000
2021-03-03 15:21:00+00:00,27.135,27.135,27.135,27.135,100,1614784860000
2021-03-03 15:22:00+00:00,27.3,27.3,27.3,27.3,745,1614784920000
2021-03-03 15:24:00+00:00,27.35,27.35,27.35,27.35,100,1614785040000
2021-03-03 15:25:00+00:00,27.35,27.35,27.35,27.35,700,1614785100000
2021-03-03 15:26:00+00:00,27.35,27.35,27.35,27.35,100,1614785160000
2021-03-03 15:27:00+00:00,27.35,27.35,27.0,27.35,10705,1614785220000
2021-03-03 15:29:00+00:00,27.35,27.35,27.35,27.35,1000,1614785340000
2021-03-03 15:30:00+00:00,27.35,27.35,27.35,27.35,100,1614785400000
2021-03-03 15:31:00+00:00,27.3,27.3,27.3,27.3,402,1614785460000
2021-03-03 15:32:00+00:00,27.35,27.35,27.35,27.35,100,1614785520000
2021-03-03 15:34:00+00:00,27.35,27.35,27.35,27.35,890,1614785640000
