date,low_price,high_price,close_price,open_price,volume
2021-03-29 00:00:00,55775.19,55826.49,55821.59,55781.22,6.51071642
2021-03-29 00:01:00,55822.81,55877.35,55863.66,55822.81,6.5763228
2021-03-29 00:02:00,55759.79,55865.84,55768.81,55849.59,26.50442603
2021-03-29 00:03:00,55759.6,55813.02,55779.64,55763.41,8.08762724
2021-03-29 00:04:00,55749.99,55779.36,55760.71,55774.88,4.1150791
2021-03-29 00:05:00,55735.01,55772.89,55735.01,55756.35,4.06830119
2021-03-29 00:06:00,55700.0,55772.77,55702.18,55735.01,6.37289431
2021-03-29 00:07:00,55658.06,55700.01,55664.14,55700.01,3.203398
2021-03-29 00:08:00,55633.0,55695.08,55682.21,55664.13,5.87223348
2021-03-29 00:09:00,55658.81,55688.03,55687.99,55680.28,4.77008767
2021-03-29 00:10:00,55679.5,55748.6,55717.65,55684.49,4.8910707
2021-03-29 00:11:00,55709.2,55789.99,55789.99,55717.65,6.10901646
2021-03-29 00:12:00,55758.56,55837.72,55830.0,55783.89,7.19919319
2021-03-29 00:13:00,55821.6,55870.0,55865.44,55827.04,8.9303531
2021-03-29 00:14:00,55786.74,55865.95,55816.89,55865.44,7.25515609
2021-03-29 00:15:00,55760.1,55822.87,55760.14,55816.88,1.4058369
2021-03-29 00:16:00,55722.93,55778.61,55742.2,55765.44,3.64175799
2021-03-29 00:17:00,55715.93,55761.4,55759.44,55749.27,1.96573138
2021-03-29 00:18:00,55747.71,55783.45,55750.8,55757.92,1.27675051
2021-03-29 00:19:00,55720.45,55766.98,55739.3,55754.59,2.86045302
2021-03-29 00:20:00,55699.82,55744.97,55729.83,55744.79,10.65880443
2021-03-29 00:21:00,55705.19,55733.62,55720.97,55731.01,2.84693685
2021-03-29 00:22:00,55720.08,55808.27,55764.56,55720.08,7.15426732
2021-03-29 00:23:00,55753.36,55831.57,55831.51,55764.51,5.04696927
2021-03-29 00:24:00,55815.08,55856.15,55840.08,55831.51,6.62743667
