date,low_price,high_price,close_price,open_price,volume
2021-03-29 00:00:00,1685.12,1687.16,1686.06,1686.92,25.71447664
2021-03-29 00:01:00,1686.01,1687.2,1687.19,1686.09,71.87665507
2021-03-29 00:02:00,1685.01,1687.15,1685.27,1687.15,47.09180432
2021-03-29 00:03:00,1683.88,1686.65,1684.07,1685.34,184.2665288
2021-03-29 00:04:00,1683.6,1684.69,1684.55,1683.83,60.60398535
2021-03-29 00:05:00,1684.34,1685.34,1684.42,1684.55,121.62164863
2021-03-29 00:06:00,1683.85,1685.25,1683.88,1684.44,44.8317454
2021-03-29 00:07:00,1683.48,1684.34,1683.96,1683.88,44.17955067
2021-03-29 00:08:00,1682.8,1684.38,1683.64,1683.84,307.81438465
2021-03-29 00:09:00,1683.44,1685.0,1685.0,1683.58,40.69372942
2021-03-29 00:10:00,1685.0,1686.49,1685.5,1685.0,71.52468664
2021-03-29 00:11:00,1685.39,1687.0,1686.99,1685.6,44.64609501
2021-03-29 00:12:00,1686.82,1689.0,1689.0,1686.99,124.72283086
2021-03-29 00:13:00,1688.99,1690.99,1690.65,1688.99,64.45892124
2021-03-29 00:14:00,1688.12,1690.66,1688.34,1690.65,132.78417525
2021-03-29 00:15:00,1686.86,1688.58,1686.86,1688.34,109.5348452
2021-03-29 00:16:00,1685.89,1687.17,1686.28,1686.85,81.84637651
2021-03-29 00:17:00,1685.59,1686.73,1686.49,1686.28,43.73574068
2021-03-29 00:18:00,1685.94,1687.17,1686.12,1686.49,44.05174272
2021-03-29 00:19:00,1685.27,1686.12,1685.28,1686.12,55.08495241
2021-03-29 00:20:00,1684.41,1686.62,1686.41,1685.27,150.49326922
2021-03-29 00:21:00,1685.96,1686.61,1686.3,1686.42,56.45321668
2021-03-29 00:22:00,1686.15,1689.17,1688.47,1686.28,156.53833387
2021-03-29 00:23:00,1688.34,1690.95,1690.58,1688.47,56.03241988
2021-03-29 00:24:00,1689.82,1691.36,1691.01,1690.57,151.9974312
2021-03-29 00:25:00,1688.69,1691.01,1689.07,1691.01,153.20727221
2021-03-29 00:26:00,1689.07,1691.91,1690.0,1689.07,134.22129048
2021-03-29 00:27:00,1689.76,1690.86,1689.8,1689.76,16.7551582
2021-03-29 00:28:00,1688.99,1690.72,1688.99,1689.77,81.0948579
2021-03-29 00:29:00,1688.37,1689.97,1689.21,1688.99,44.42889947
2021-03-29 00:30:00,1687.99,1689.28,1688.84,1689.13,55.11760067
2021-03-29 00:31:00,1688.83,1690.38,1690.38,1688.83,140.44366994
2021-03-29 00:32:00,1689.53,1690.52,1689.91,1690.52,28.49177824
2021-03-29 00:33:00,1689.19,1690.27,1689.93,1689.91,143.35669962
2021-03-29 00:34:00,1689.9,1691.84,1691.84,1689.99,46.45588716
2021-03-29 00:35:00,1689.9,1691.84,1689.91,1691.83,107.20508455
2021-03-29 00:36:00,1688.3,1690.63,1690.17,1689.91,147.49002559
2021-03-29 00:37:00,1690.16,1692.0,1691.84,1690.16,67.54738529
2021-03-29 00:38:00,1690.0,1692.0,1690.12,1691.83,63.71139934
2021-03-29 00:39:00,1689.4,1690.55,1689.51,1690.15,34.3550702
2021-03-29 00:40:00,1688.1,1689.91,1688.41,1689.4,62.04169068
2021-03-29 00:41:00,1687.9,1688.81,1688.4,1688.41,35.29781967
2021-03-29 00:42:00,1688.4,1689.14,1688.77,1688.41,29.37076088
2021-03-29 00:43:00,1687.01,1688.85,1687.01,1688.85,48.73284747
2021-03-29 00:44:00,1687.18,1688.53,1688.06,1687.44,27.48124365
2021-03-29 00:45:00,1685.58,1688.54,1685.63,1688.03,78.05802878
2021-03-29 00:46:00,1685.91,1687.95,1687.28,1685.91,12.58252502
2021-03-29 00:47:00,1684.61,1686.81,1684.61,1686.47,13.10529468
2021-03-29 00:48:00,1683.5,1684.83,1683.55,1684.78,69.34242832
2021-03-29 00:49:00,1683.44,1685.28,1685.28,1683.68,82.72587105
2021-03-29 00:50:00,1684.94,1686.37,1685.5,1685.28,52.73852249
2021-03-29 00:51:00,1680.88,1685.51,1681.02,1685.51,204.29828337
2021-03-29 00:52:00,1680.54,1682.4,1681.85,1681.02,81.7474611
2021-03-29 00:53:00,1681.5,1683.93,1683.93,1681.5,78.84097956
2021-03-29 00:54:00,1682.89,1684.25,1683.64,1683.98,26.82840037
2021-03-29 00:55:00,1683.14,1685.29,1685.13,1683.37,22.53315722
2021-03-29 00:56:00,1684.99,1685.72,1685.52,1685.13,65.95476261
2021-03-29 00:57:00,1683.77,1685.53,1685.22,1685.53,244.66581674
