begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2020-12-28T15:00:00Z,31.830000,30.610000,31.880000,30.120000,2786225,reg,False,GBTC
2020-12-28T16:00:00Z,30.650000,31.040000,31.320000,30.500000,1862217,reg,False,GBTC
2020-12-28T17:00:00Z,31.040000,30.930000,31.100000,30.820000,1081582,reg,False,GBTC
2020-12-28T18:00:00Z,30.940000,30.930000,31.050000,30.900000,1357283,reg,False,GBTC
2020-12-28T19:00:00Z,30.920000,30.843000,31.020000,30.720000,1235097,reg,False,GBTC
2020-12-28T20:00:00Z,30.450000,30.450000,30.450000,30.450000,100,reg,False,GBTC
2020-12-29T15:00:00Z,29.700000,29.050000,29.750000,28.600000,2177881,reg,False,GBTC
2020-12-29T16:00:00Z,29.050000,28.930000,29.200000,28.500000,1491051,reg,False,GBTC
2020-12-29T17:00:00Z,28.930000,29.220000,29.220000,28.800000,943698,reg,False,GBTC
2020-12-29T18:00:00Z,29.220000,29.820000,30.050000,29.200000,1183487,reg,False,GBTC
2020-12-29T19:00:00Z,29.830000,30.100000,30.250000,29.610000,948957,reg,False,GBTC
2020-12-29T20:00:00Z,30.080000,30.080000,30.080000,30.080000,50,reg,False,GBTC
2020-12-30T15:00:00Z,31.800000,31.730000,31.950000,31.370000,1832482,reg,False,GBTC
2020-12-30T16:00:00Z,31.730000,31.570000,31.790000,31.020000,1524357,reg,False,GBTC
2020-12-30T17:00:00Z,31.570000,31.830000,31.850000,31.560000,1380615,reg,False,GBTC
2020-12-30T18:00:00Z,31.823000,32.250000,32.280000,31.630000,1906119,reg,False,GBTC
2020-12-30T19:00:00Z,32.260000,32.950000,32.950000,32.220000,2100028,reg,False,GBTC
2020-12-30T20:00:00Z,32.940000,32.880000,33.000000,32.590000,1740861,reg,False,GBTC
2020-12-31T15:00:00Z,32.230000,32.760000,32.900000,32.200000,1461400,reg,False,GBTC
2020-12-31T16:00:00Z,32.750000,31.770000,32.780000,31.600000,1546263,reg,False,GBTC
2020-12-31T17:00:00Z,31.770000,31.770000,32.040000,31.650000,986666,reg,False,GBTC
2020-12-31T18:00:00Z,31.770000,32.100000,32.290000,31.760000,1112597,reg,False,GBTC
