begins_at,open_price_x,close_price_x,high_price_x,low_price_x,volume_x,session_x,interpolated_x,symbol_x,open_price_y,close_price_y,high_price_y,low_price_y,volume_y,session_y,interpolated_y,symbol_y
2021-03-21T18:25:00Z,57188.130000,57342.145000,57785.555000,57168.325000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:30:00Z,57463.455000,57355.995000,57694.195000,57113.060000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:35:00Z,57479.155000,57396.880000,57550.285000,57015.710000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:40:00Z,57396.880000,57441.375000,57899.960000,57097.185000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:45:00Z,57441.375000,57441.880000,57859.170000,57221.190000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:50:00Z,57441.880000,57482.100000,57637.860000,57141.470000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T18:55:00Z,57482.100000,57394.005000,58062.725000,56947.205000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:00:00Z,57394.005000,57512.405000,58071.460000,56961.760000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:05:00Z,57631.250000,57609.285000,57793.200000,56917.170000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:10:00Z,57491.205000,57777.860000,58066.675000,57314.615000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:15:00Z,57777.860000,57656.070000,58038.775000,57469.553006,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:20:00Z,57672.400000,57619.870000,57974.320000,57403.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:25:00Z,57619.870000,57555.130000,57758.770000,57339.729039,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:30:00Z,57555.130000,57626.605000,57768.530000,57418.000000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:35:00Z,57626.605000,57471.230000,57939.580000,57316.945000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:40:00Z,57471.230000,57493.695000,57838.360000,57318.750000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:45:00Z,57372.110000,57581.735000,57747.805000,57243.995000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:50:00Z,57581.735000,57593.725000,57746.517836,57347.946823,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T19:55:00Z,57711.820000,57600.560000,57750.275000,57439.395000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:00:00Z,57600.560000,57712.750000,57850.520000,57460.375000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:05:00Z,57712.750000,57628.540000,58064.185000,57514.320000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:10:00Z,57628.540000,57805.670000,58100.245000,57430.570000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:15:00Z,57785.265000,57907.040000,58164.000000,57609.450000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:20:00Z,58027.685000,58011.175000,58360.235000,57646.055000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:25:00Z,58129.110000,57889.555000,58150.455000,57619.900000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:30:00Z,58010.155000,57925.300000,58221.270000,57602.840000,0,reg,False,BTCUSD,,,,,,,,
